Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Anchorage
Station ID: USW00026451
Downloaded: Tue Oct 11 2022 12:08:28 GMT-0600 (Mountain Daylight Time)

"Date","Maximum Temperature (degF)","Precipitation (in)","Mean Temperature (degF)","Minimum Temperature (degF)","Snowfall (in)","Snow Depth (in)"
"2011-08-01","62","0.11","58","54","0","0"
"2011-08-02","62","0.53","58","54","0","0"
"2011-08-03","58","0.25","55","52","0","0"
"2011-08-04","64","0.13","58","52","0","0"
"2011-08-05","61","0.2","55.5","50","0","0"
"2011-08-06","58","0.25","52.5","47","0","0"
"2011-08-07","58","0.06","54","50","0","0"
"2011-08-08","59","0.2","54.5","50","0","0"
"2011-08-09","55","0.34","52","49","0","0"
"2011-08-10","62","0","54.5","47","0","0"
"2011-08-11","67","0","57","47","0","0"
"2011-08-12","66","","56","46","0","0"
"2011-08-13","64","0.04","59","54","0","0"
"2011-08-14","64","0.08","59.5","55","0","0"
"2011-08-15","66","0.16","58.5","51","0","0"
"2011-08-16","67","0","57.5","48","0","0"
"2011-08-17","62","0.22","57.5","53","0","0"
"2011-08-18","63","0.06","57.5","52","0","0"
"2011-08-19","56","0.28","53.5","51","0","0"
"2011-08-20","59","0.12","55.5","52","0","0"
"2011-08-21","63","0.02","58","53","0","0"
"2011-08-22","62","0.02","56","50","0","0"
"2011-08-23","55","0.22","52.5","50","0","0"
"2011-08-24","63","","56.5","50","0","0"
"2011-08-25","57","","53.5","50","0","0"
"2011-08-26","63","0.01","55","47","0","0"
"2011-08-27","59","0.03","52.5","46","0","0"
"2011-08-28","62","0","52.5","43","0","0"
"2011-08-29","65","0.03","55","45","0","0"
"2011-08-30","58","0.02","54.5","51","0","0"
"2011-08-31","54","0.55","51","48","0","0"
"2011-09-01","61","0","54","47","0","0"
"2011-09-02","58","0.08","52.5","47","0","0"
"2011-09-03","55","","51","47","0","0"
"2011-09-04","53","0.03","50","47","0","0"
"2011-09-05","56","","50.5","45","0","0"
"2011-09-06","58","0","52.5","47","0","0"
"2011-09-07","57","0.01","52.5","48","0","0"
"2011-09-08","59","0","53","47","0","0"
"2011-09-09","60","0","53","46","0","0"
"2011-09-10","59","0","54.5","50","0","0"
"2011-09-11","60","","51.5","43","0","0"
"2011-09-12","54","0.16","50.5","47","0","0"
"2011-09-13","65","","56","47","0","0"
"2011-09-14","59","0","54","49","0","0"
"2011-09-15","61","0","54","47","0","0"
"2011-09-16","52","","48","44","0","0"
"2011-09-17","56","","50","44","0","0"
"2011-09-18","57","","50.5","44","0","0"
"2011-09-19","50","0.04","46.5","43","0","0"
"2011-09-20","53","0.07","49","45","0","0"
"2011-09-21","56","0.06","50","44","0","0"
"2011-09-22","54","","49","44","0","0"
"2011-09-23","53","0","46.5","40","0","0"
"2011-09-24","54","0","50.5","47","0","0"
"2011-09-25","55","0","45.5","36","0","0"
"2011-09-26","54","0","43.5","33","0","0"
"2011-09-27","51","0.01","41.5","32","0","0"
"2011-09-28","53","0.01","43","33","0","0"
"2011-09-29","47","0.02","42","37","0","0"
"2011-09-30","50","0.14","45","40","0","0"
"2011-10-01","47","0.04","43.5","40","0","0"
"2011-10-02","47","0.23","43.5","40","0","0"
"2011-10-03","50","","41.5","33","0","0"
"2011-10-04","51","0","41","31","0","0"
"2011-10-05","47","","39.5","32","0","0"
"2011-10-06","47","0.06","42","37","0","0"
"2011-10-07","47","","43","39","0","0"
"2011-10-08","51","","44","37","0","0"
"2011-10-09","47","0","38.5","30","0","0"
"2011-10-10","48","0","38.5","29","0","0"
"2011-10-11","44","0","35.5","27","0","0"
"2011-10-12","43","0","36","29","0","0"
"2011-10-13","41","0","37.5","34","0","0"
"2011-10-14","47","0","41","35","0","0"
"2011-10-15","45","0.11","41","37","0","0"
"2011-10-16","42","0.27","39.5","37","0","0"
"2011-10-17","41","0.05","38","35","0","0"
"2011-10-18","41","0","34.5","28","0","0"
"2011-10-19","38","0","33.5","29","0","0"
"2011-10-20","40","0","36","32","0","0"
"2011-10-21","40","","37","34","0","0"
"2011-10-22","40","","36.5","33","0","0"
"2011-10-23","44","0.01","39.5","35","0","0"
"2011-10-24","48","0.04","44.5","41","0","0"
"2011-10-25","48","0.11","43","38","0","0"
"2011-10-26","42","0.24","35.5","29","0","0"
"2011-10-27","36","0","31.5","27","0","0"
"2011-10-28","35","0","31.5","28","0","0"
